"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","poutcome","predicted_y","bmodtest1","bmodtest1_y"
"1",32,4,0,6,0,0,0,0,3,3,131,5,1,"0","0","0"
"2",37,10,3,6,0,0,0,0,4,3,100,1,1,"0","0","0"
"3",55,5,0,5,1,2,0,0,3,2,131,2,1,"0","0","0"
"4",44,2,1,0,1,0,0,1,4,3,48,2,1,"0","0","0"
"5",28,0,2,3,0,0,0,0,5,0,144,2,1,"0","0","0"
"6",45,10,1,2,0,0,0,0,1,0,126,3,1,"0","0","0"
"7",55,0,0,6,0,0,0,0,7,0,189,1,1,"0","0","0"
"8",46,0,1,3,0,0,0,1,4,3,107,3,1,"0","0","0"
"9",53,1,2,2,0,2,0,0,3,4,355,1,1,"0","0","0"
"10",30,0,2,6,0,0,0,0,1,1,135,1,1,"0","0","0"
"11",55,4,1,7,0,2,0,0,9,0,156,2,0,"0","0","0"
"12",39,1,1,2,1,0,0,0,3,3,181,1,1,"0","0","0"
"13",55,1,1,2,0,2,0,0,0,2,66,1,0,"0","0","0"
"14",55,0,0,6,0,0,0,1,7,4,36,1,1,"0","0","0"
"15",46,4,1,2,0,0,0,1,6,0,43,1,1,"0","0","0"
"16",35,1,1,2,1,0,0,1,6,0,288,3,1,"0","0","0"
"17",43,6,1,6,0,2,0,0,5,1,264,2,2,"1","1","1"
"18",37,6,1,3,0,0,0,1,6,0,554,5,1,"0","0","0"
"19",30,9,1,5,0,2,2,1,4,1,82,1,1,"0","0","0"
"20",55,5,1,3,0,0,0,0,7,1,554,2,0,"0","0","0"
"21",38,10,2,3,0,2,0,1,6,3,554,3,1,"0","0","0"
"22",55,5,1,7,0,0,2,0,1,3,554,1,2,"1","1","1"
"23",34,1,1,2,0,2,0,1,6,2,399,5,1,"0","0","0"
"24",30,9,2,5,0,0,2,1,3,2,156,5,1,"0","0","0"
"25",55,4,0,6,0,2,0,0,0,1,232,3,1,"0","0","0"
"26",34,1,1,0,0,2,0,1,6,1,102,1,1,"0","0","0"
"27",33,9,0,5,0,2,0,1,6,1,110,2,1,"0","0","0"
"28",44,4,1,2,0,0,0,0,6,3,296,1,1,"0","0","0"
"29",43,7,1,0,0,2,0,0,7,1,92,1,1,"0","0","0"
"30",34,0,1,6,0,2,0,0,6,1,304,1,1,"0","0","0"
"31",41,0,1,3,0,2,0,0,7,1,353,1,1,"0","0","0"
"32",48,1,1,2,1,0,0,1,4,0,81,5,1,"0","0","0"
"33",41,7,1,2,0,2,2,1,6,3,296,1,1,"0","0","0"
"34",28,1,2,1,1,2,0,0,6,3,387,3,1,"0","0","0"
"35",36,7,1,3,0,2,0,1,6,2,81,1,1,"0","0","0"
"36",30,1,1,2,0,2,0,1,6,1,123,5,1,"0","0","0"
"37",43,2,1,6,0,0,0,1,6,2,177,2,1,"0","0","0"
"38",50,1,1,0,1,0,0,0,1,4,157,2,1,"0","0","0"
"39",45,9,0,5,1,2,0,0,1,0,36,5,1,"0","0","0"
"40",34,9,1,3,0,2,2,0,7,2,116,1,1,"0","0","0"
"41",39,9,1,5,0,1,1,0,3,4,68,3,1,"0","0","0"
"42",33,1,1,1,0,0,0,1,3,4,292,1,1,"0","0","0"
"43",34,1,1,2,0,0,0,1,4,1,157,5,1,"0","0","0"
"44",35,4,1,6,0,0,0,0,1,3,253,1,1,"1","0","0"
"45",43,1,1,0,0,2,0,1,4,4,36,4,1,"0","0","0"
"46",41,9,1,5,0,0,2,1,6,0,36,2,1,"0","0","0"
"47",52,0,0,1,0,2,0,1,4,4,219,1,1,"0","0","0"
"48",46,0,1,3,1,2,2,1,6,1,358,3,1,"0","0","0"
"49",53,2,0,6,0,0,0,1,7,1,247,1,1,"0","0","0"
"50",51,6,1,2,0,2,0,1,6,2,162,2,1,"0","0","0"
"51",37,6,1,2,0,0,0,1,6,0,327,1,1,"0","0","0"
"52",39,0,2,7,0,0,0,1,6,3,411,1,1,"0","0","0"
"53",39,4,0,6,1,2,0,1,6,3,205,2,1,"0","0","0"
"54",42,1,1,2,0,2,0,1,4,0,516,5,1,"0","0","0"
"55",32,0,1,3,0,0,0,0,7,3,464,3,1,"0","0","0"
"56",26,7,2,2,1,2,0,0,6,3,191,1,0,"0","0","0"
"57",49,1,1,7,1,0,0,1,4,4,112,4,1,"0","0","0"
"58",49,0,0,2,0,2,0,1,6,2,312,3,1,"0","0","0"
"59",46,0,0,2,0,2,0,1,6,2,56,2,1,"0","0","0"
"60",35,9,1,5,0,2,2,1,6,0,36,2,1,"0","0","0"
